sheet,cell,formula_or_literal,resolved_value
Day 1 - Match 1,Y26,"=IF($S$39=Y$5,S26*Y$5,"""")",
Day 1 - Match 1,Z26,"=IF($S$39=Z$5,S26*Z$5,"""")",
Day 1 - Match 1,AA26,"=IF(SUM(V26:Z26)=0,0,Setup!F$45/SUM(V26:Z26))",0
Day 1 - Match 1,AD26,=A26,Brian
Day 1 - Match 1,AE26,=B26,0
Day 1 - Match 1,AF26,=C26,0
Day 1 - Match 1,AG26,=D26,0
Day 1 - Match 1,AH26,=E26,0
Day 1 - Match 1,AI26,=F26,0
Day 1 - Match 1,AJ26,=G26,0
Day 1 - Match 1,AK26,=H26,0
Day 1 - Match 1,AL26,=I26,0
Day 1 - Match 1,AM26,=J26,0
Day 1 - Match 1,A27,=Matchups!C24,12
Day 1 - Match 1,M27,=A27,12
Day 1 - Match 1,N27,=K27,0
Day 1 - Match 1,V27,"=IF($S$39=V$5,S27*V$5,"""")",
Day 1 - Match 1,W27,"=IF($S$39=W$5,S27*W$5,"""")",
Day 1 - Match 1,X27,"=IF($S$39=X$5,S27*X$5,"""")",
Day 1 - Match 1,Y27,"=IF($S$39=Y$5,S27*Y$5,"""")",
Day 1 - Match 1,Z27,"=IF($S$39=Z$5,S27*Z$5,"""")",
Day 1 - Match 1,AA27,"=IF(SUM(V27:Z27)=0,0,Setup!F$45/SUM(V27:Z27))",0
Day 1 - Match 1,A28,=Matchups!C25,Bob
Day 1 - Match 1,K28,=SUM(B28:J28),0
Day 1 - Match 1,M28,=A28,Bob
Day 1 - Match 1,N28,=K28,0
Day 1 - Match 1,O28,=K115,2
Day 1 - Match 1,T28,='Skins - Day 1'!T28,0
Day 1 - Match 1,V28,"=IF($S$39=V$5,S28*V$5,"""")",
Day 1 - Match 1,W28,"=IF($S$39=W$5,S28*W$5,"""")",
Day 1 - Match 1,X28,"=IF($S$39=X$5,S28*X$5,"""")",
Day 1 - Match 1,Y28,"=IF($S$39=Y$5,S28*Y$5,"""")",
Day 1 - Match 1,Z28,"=IF($S$39=Z$5,S28*Z$5,"""")",
Day 1 - Match 1,AA28,"=IF(SUM(V28:Z28)=0,0,Setup!F$45/SUM(V28:Z28))",0
Day 1 - Match 1,AD28,=A28,Bob
Day 1 - Match 1,AE28,=B28,0
Day 1 - Match 1,AF28,=C28,0
Day 1 - Match 1,AG28,=D28,0
Day 1 - Match 1,AH28,=E28,0
Day 1 - Match 1,AI28,=F28,0
Day 1 - Match 1,AJ28,=G28,0
Day 1 - Match 1,AK28,=H28,0
Day 1 - Match 1,AL28,=I28,0
Day 1 - Match 1,AM28,=J28,0
Day 1 - Match 1,A29,=Matchups!C26,13
Day 1 - Match 1,M29,=A29,13
Day 1 - Match 1,N29,=K29,0
Day 1 - Match 1,V29,"=IF($S$39=V$5,S29*V$5,"""")",
Day 1 - Match 1,W29,"=IF($S$39=W$5,S29*W$5,"""")",
Day 1 - Match 1,X29,"=IF($S$39=X$5,S29*X$5,"""")",
Day 1 - Match 1,Y29,"=IF($S$39=Y$5,S29*Y$5,"""")",
Day 1 - Match 1,Z29,"=IF($S$39=Z$5,S29*Z$5,"""")",
Day 1 - Match 1,AA29,"=IF(SUM(V29:Z29)=0,0,Setup!F$45/SUM(V29:Z29))",0
Day 1 - Match 1,A30,=Matchups!C27,David
Day 1 - Match 1,K30,=SUM(B30:J30),0
Day 1 - Match 1,M30,=A30,David
Day 1 - Match 1,N30,=K30,0
Day 1 - Match 1,O30,=K122,2
Day 1 - Match 1,T30,='Skins - Day 1'!T30,0
Day 1 - Match 1,V30,"=IF($S$39=V$5,S30*V$5,"""")",
Day 1 - Match 1,W30,"=IF($S$39=W$5,S30*W$5,"""")",
Day 1 - Match 1,X30,"=IF($S$39=X$5,S30*X$5,"""")",
Day 1 - Match 1,Y30,"=IF($S$39=Y$5,S30*Y$5,"""")",
Day 1 - Match 1,Z30,"=IF($S$39=Z$5,S30*Z$5,"""")",
Day 1 - Match 1,AA30,"=IF(SUM(V30:Z30)=0,0,Setup!F$45/SUM(V30:Z30))",0
Day 1 - Match 1,AD30,=A30,David
Day 1 - Match 1,AE30,=B30,0
Day 1 - Match 1,AF30,=C30,0
Day 1 - Match 1,AG30,=D30,0
Day 1 - Match 1,AH30,=E30,0
Day 1 - Match 1,AI30,=F30,0
Day 1 - Match 1,AJ30,=G30,0
Day 1 - Match 1,AK30,=H30,0
Day 1 - Match 1,AL30,=I30,0
Day 1 - Match 1,AM30,=J30,0
Day 1 - Match 1,A31,=Matchups!C28,8
Day 1 - Match 1,M31,=A31,8
Day 1 - Match 1,N31,=K31,0
Day 1 - Match 1,V31,"=IF($S$39=V$5,S31*V$5,"""")",
Day 1 - Match 1,W31,"=IF($S$39=W$5,S31*W$5,"""")",
Day 1 - Match 1,X31,"=IF($S$39=X$5,S31*X$5,"""")",
Day 1 - Match 1,Y31,"=IF($S$39=Y$5,S31*Y$5,"""")",
Day 1 - Match 1,Z31,"=IF($S$39=Z$5,S31*Z$5,"""")",
Day 1 - Match 1,AA31,"=IF(SUM(V31:Z31)=0,0,Setup!F$45/SUM(V31:Z31))",0
Day 1 - Match 1,A32,=Matchups!C29,John
Day 1 - Match 1,K32,=SUM(B32:J32),0
Day 1 - Match 1,M32,=A32,John
Day 1 - Match 1,N32,=K32,0
